attorney_id,first_name,last_name,email,department,bar_admission_date
61,Edwin,Frank,edwin.frank@lawfirm.com,Pro Bono,2024-01-13
62,Michelle,Roach,michelle.roach@lawfirm.com,Pro Bono,2020-08-31
63,Shaun,Lewis,shaun.lewis@lawfirm.com,Litigation,2012-11-27
64,Angela,Sosa,angela.sosa@lawfirm.com,Litigation,2017-12-15
65,Stephanie,Ramirez,,Litigation,2016-05-15
66,Stephen,Cooper,stephen.cooper@lawfirm.com,Corporate,2014-09-10
67,Megan,Fuller,megan.fuller@lawfirm.com,IP,2022-02-20
68,Alfred,Smith,alfred.smith@lawfirm.com,IP,2012-12-17
69,Sarah,Lam,sarah.lam@lawfirm.com,Corporate,2014-07-26
70,Lisa,Powell,lisa.powell@lawfirm.com,Corporate,2012-02-28
71,Mary,Guzman,mary.guzman@lawfirm.com,Pro Bono,2024-04-26
72,Antonio,Fitzgerald,antonio.fitzgerald@lawfirm.com,Litigation,2018-03-05
73,Janet,Flores,janet.flores@lawfirm.com,IP,2017-10-07
74,Debra,Edwards,debra.edwards@lawfirm.com,Pro Bono,2011-04-23
75,Austin,Porter,austin.porter@lawfirm.com,Litigation,2013-07-17
76,Sara,Donovan,sara.donovan@lawfirm.com,Corporate,2014-11-28
77,Paula,Wong,paula.wong@lawfirm.com,Corporate,2024-05-30
78,Robert,Ellis,robert.ellis@lawfirm.com,IP,2011-10-15
79,Crystal,Jones,crystal.jones@lawfirm.com,Pro Bono,2018-02-12
80,Lisa,Moore,lisa.moore@lawfirm.com,Litigation,2014-08-18
81,Nicholas,Andrews,nicholas.andrews@lawfirm.com,Pro Bono,2014-05-25
82,Vanessa,Torres,vanessa.torres@lawfirm.com,Corporate,2016-03-01
83,Lori,Shaw,lori.shaw@lawfirm.com,IP,2012-06-10
84,Hailey,Cohen,hailey.cohen@lawfirm.com,Litigation,2011-03-31
85,Melanie,White,melanie.white@lawfirm.com,Litigation,2018-10-03
86,Jennifer,Miller,jennifer.miller@lawfirm.com,IP,2018-01-12
87,Dawn,Butler,dawn.butler@lawfirm.com,Litigation,2013-08-10
88,Lindsay,Williams,lindsay.williams@lawfirm.com,IP,2014-09-02
89,Rachel,Mendoza,rachel.mendoza@lawfirm.com,Pro Bono,2018-09-28
90,Rachel,Hodge,rachel.hodge@lawfirm.com,Corporate,2023-08-31
91,Jamie,Day,jamie.day@lawfirm.com,Pro Bono,2020-10-07
92,Melissa,Ramirez,melissa.ramirez@lawfirm.com,Corporate,2016-06-14
93,Lisa,George,lisa.george@lawfirm.com,IP,2017-05-30
94,April,Williamson,april.williamson@lawfirm.com,IP,2013-08-08
95,Carolyn,Wood,carolyn.wood@lawfirm.com,Pro Bono,not_a_date
96,Brooke,Lucas,brooke.lucas@lawfirm.com,Litigation,2013-12-05
97,Kevin,Price,kevin.price@lawfirm.com,Litigation,2013-12-21
98,Ryan,Moore,ryan.moore@lawfirm.com,IP,2011-12-02
99,Richard,Casey,richard.casey@lawfirm.com,Corporate,2014-08-05
100,Timothy,Mckee,timothy.mckee@lawfirm.com,IP,2019-11-15
